sufrir	挨 (āi)
manipular	操纵 (cāo zòng)
lado	侧 (cè)
baño	厕所 (cè suǒ)
Determinación	测定 (cè dìng)
Estrategia	策略 (cè lüè)
plan	策划 (cè huà)
nivel	层面 (céng miàn)
descubrir	查出 (chá chū)
Controlar	查看 (chá kàn)
diferencia	差异 (chā yì)
Demolición	拆迁 (chāi qiān)
Producir	产量 (chǎn liàng)
prosperidad	昌盛 (chāng shèng)
convencional	常规 (cháng guī)
todo el año	常年 (cháng nián)
Fabricante	厂商 (chǎng shāng)
sitio	场地 (chǎng dì)
Evento	场馆 (chǎng guǎn)
escena	场景 (chǎng jǐng)
liso	畅通 (chàng tōng)
adelantar	超 (chāo)
más allá de	超出 (chāo chū)
saltear	炒 (chǎo)
Comercio de acciones	炒股 (chǎo gǔ)
Bombo publicitario	炒作 (chǎo zuò)
numero de auto	车号 (chē hào)
matrícula	车牌 (chē pái)
exhibición de autos	车展 (chē zhǎn)
Evacuar	撤离 (chè lí)
Cancelar	撤销 (chè xiāo)
apoyo	撑 (chēng)
componente	成分 (chéng fèn)
Producto terminado	成品 (chéng pǐn)
promesa	承诺 (chéng nuò)
zona urbana	城区 (chéng qū)
Urbano y rural	城乡 (chéng xiāng)
ciudad	城镇 (chéng zhèn)
sostener	持有 (chí yǒu)
impacto	冲击 (chōng jī)
culto	崇拜 (chóng bài)
mascota	宠物 (chǒng wù)
aparecer	出场 (chū chǎng)
despacho	出动 (chū dòng)
Visita al extranjero	出访 (chū fǎng)
salida	出路 (chū lù)
presentarse	出面 (chū miàn)
famoso	出名 (chū míng)
acceso	出入 (chū rù)
algo paso	出事 (chū shì)
introducido	出台 (chū tái)
viajar	出行 (chū xíng)
primario	初等 (chū děng)
eliminar	除 (chú)
cocinero	厨师 (chú shī)
almacenar	储存 (chǔ cún)
en todos lados	处处 (chù chù)
Director	处长 (chù zhǎng)
extrovertido	传出 (chuán chū)
medios de comunicación	传媒 (chuán méi)
transmisión	传输 (chuán shū)
Rumores	传言 (chuán yán)
multitud	船员 (chuán yuán)
capitán	船长 (chuán zhǎng)
buque	船只 (chuán zhī)
cadena	串 (chuàn)
ventana	窗口 (chuāng kǒu)
Fundado	创办 (chuàng bàn)
crear	创建 (chuàng jiàn)
creatividad	创意 (chuàng yì)
aquí	此处 (cǐ chù)
esta vez	此次 (cǐ cì)
previamente	此前 (cǐ qián)
este asunto	此事 (cǐ shì)
Atentamente	此致 (cǐ zhì)
frecuencia	次数 (cì shù)
Nunca	从不 (cóng bù)
nunca	从没 (cóng méi)
vinagre	醋 (cù)
aldea	村庄 (cūn zhuāng)
extrañar	错过 (cuò guò)
llevar	搭 (dā)
pareja	搭档 (dā dàng)
mover	打动 (dǎ dòng)
interrumpir	打断 (dǎ duàn)
despedir	打发 (dǎ fā)
Litigio	打官司 (dǎ guān sī)
jugar a las cartas	打牌 (dǎ pái)
impresora	打印机 (dǎ yìn jī)
construir	打造 (dǎ zào)
Avenida	大道 (dà dào)
calle	大街 (dà jiē)
vigorosamente	大力 (dà lì)
Arroz	大米 (dà mǐ)
en grandes cantidades	大批 (dà pī)
Concurso	大赛 (dà sài)
maestro	大师 (dà shī)
embajador	大使 (dà shǐ)
más tarde	待会儿 (dài huì er)
individual	单打 (dān dǎ)
preocuparse	担忧 (dān yōu)
nacimiento	诞生 (dàn shēng)
Como	当成 (dàng chéng)
ese dia	当天 (dàng tiān)
como	当作 (dàng zuò)
fiesta	党 (dǎng)
archivos	档 (dàng)
archivo	档案 (dàng àn)
madurez	到期 (dào qī)
piratería	盗版 (dào bǎn)
taoísmo	道教 (dào jiào)
Disculparse	道歉 (dào qiàn)
piso	地板 (dì bǎn)
topónimo	地名 (dì míng)
sótano	地下室 (dì xià shì)
baja la cabeza	低头 (dī tóu)
baja temperatura	低温 (dī wēn)
gota	滴 (dī)
llegada	抵达 (dǐ dá)
resistencia	抵抗 (dǐ kàng)
tranvía	电车 (diàn chē)
eléctrico	电动 (diàn dòng)
electricidad	电力 (diàn lì)
electrodomésticos	电器 (diàn qì)
colgar	吊 (diào)
investigación	调研 (diào yán)
caer	跌 (diē)
Precios	定价 (dìng jià)
momento	定时 (dìng shí)
posición	定位 (dìng wèi)
animación	动画 (dòng huà)
Ciudad	都市 (dū shì)
lucha	斗争 (dòu zhēng)
veneno	毒品 (dú pǐn)
apuesta	赌 (dǔ)
jugar	赌博 (dǔ bó)
cruz	渡 (dù)
fin	端 (duān)
Festival del Barco Dragón	端午节 (duān wǔ jié)
cortometraje	短片 (duǎn piàn)
equipo	队伍 (duì wǔ)
confrontación	对抗 (duì kàng)
extranjero	对外 (duì wài)
agacharse	蹲 (dūn)
mayoría	多半 (duō bàn)
Muchos aspectos	多方面 (duō fāng miàn)
multimedia	多媒体 (duō méi tǐ)
aprovechar	夺 (duó)
aprovechar	夺取 (duó qǔ)
benefactor	恩人 (ēn rén)
Pediatría	儿科 (ér kē)
comienzo	发病 (fā bìng)
producir electricidad	发电 (fā diàn)
asunto	发放 (fā fàng)
enojarse	发怒 (fā nù)
iniciado	发起 (fā qǐ)
portavoz	发言人 (fā yán rén)
enconado	发炎 (fā yán)
corte	法庭 (fǎ tíng)
Francés	法语 (fǎ yǔ)
número	番 (fān)
tomate	番茄 (fān qié)
todo	凡是 (fán shì)
reproducir	繁殖 (fán zhí)
resistir	反抗 (fǎn kàng)
pregunta retórica	反问 (fǎn wèn)
repercusiones	反响 (fǎn xiǎng)
comprometerse	犯 (fàn)
falta	犯规 (fàn guī)
delito	犯罪 (fàn zuì)
precaución	防范 (fáng fàn)
defensa	防守 (fáng shǒu)
precio de la casa	房价 (fáng jià)
como si	仿佛 (fǎng fú)
astronave	飞船 (fēi chuán)
piloto	飞行员 (fēi xíng yuán)
pulmón	肺 (fèi)
División del trabajo	分工 (fēn gōng)
Dividir	分裂 (fēn liè)
enojo	愤怒 (fèn nù)
tormenta	风暴 (fēng bào)
cumbre	峰会 (fēng huì)
dedicación	奉献 (fèng xiàn)
Buda	佛 (fú)
Budismo	佛教 (fó jiào)
Ropa	服 (fú)
flotar	浮 (fú)
padre e hija	父女 (fù nǚ)
padre e hijo	父子 (fù zǐ)
mujer	妇女 (fù nǚ)
carga	负 (fù)
recuperación	复苏 (fù sū)
vicio	副 (fù)
hombre rico	富人 (fù rén)
rico	富有 (fù yǒu)
Modificación	改装 (gǎi zhuāng)
vara	杆 (gān)
hígado	肝 (gān)
no puedo ponerme al día	赶不上 (gǎn bù shàng)
rápidamente	赶忙 (gǎn máng)
ponerse al día	赶上 (gǎn shàng)
atrevimiento	敢于 (gǎn yú)
conmovedor	感人 (gǎn rén)
meter algún remo en	干涉 (gān shè)
justo	刚好 (gāng hǎo)
correo	岗位 (gǎng wèi)
puerto	港口 (gǎng kǒu)
rascacielos	高层 (gāo céng)
exclusivo	高档 (gāo dàng)
más alto	高等 (gāo děng)
cima	高峰 (gāo fēng)
examen de ingreso a la universidad	高考 (gāo kǎo)
alta tecnología	高科技 (gāo kē jì)
maestro	高手 (gāo shǒu)
Manuscrito	稿子 (gǎo zi)
cantando	歌唱 (gē chàng)
lírica	歌词 (gē cí)
cantante	歌星 (gē xīng)
innovación	革新 (gé xīn)
dar	给予 (jǐ yǔ)
Aún más	更是 (gèng shì)
Industria y comercio	工商 (gōng shāng)
masculino	公 (gōng)
seguridad publica	公安 (gōng ān)
Gallo	公鸡 (gōng jī)
público	公众 (gōng zhòng)
Princesa	公主 (gōng zhǔ)
ataque	攻击 (gōng jī)
suministrar	供给 (gōng jǐ)
palacio	宫 (gōng)
consolidar	巩固 (gǒng gù)
contribuir	贡献 (gòng xiàn)
construir	构建 (gòu jiàn)
tía	姑姑 (gū gū)
Solitario	孤独 (gū dú)
huérfano	孤儿 (gū ér)
clásico	古典 (gǔ diǎn)
compartir	股 (gǔ)
accionista	股东 (gǔ dōng)
existencias	股票 (gǔ piào)
Falla	故障 (gù zhàng)
Gu	顾 (gù)
afeitar	刮 (guā)
Giro de vuelta	拐 (guǎi)
cariñoso	关爱 (guān ài)
asociación	关联 (guān lián)
haga turismo	观光 (guān guāng)
pleito	官司 (guān sī)
tubería	管道 (guǎn dào)
brillantez	光辉 (guāng huī)
amplio	广阔 (guǎng kuò)
pista	轨道 (guǐ dào)
arrodillarse	跪 (guì)
Doméstico	国产 (guó chǎn)
Himno nacional	国歌 (guó gē)
congreso	国会 (guó huì)
bandera	国旗 (guó qí)
rey	国王 (guó wáng)
atasco	果酱 (guǒ jiàng)
arboles frutales	果树 (guǒ shù)
transición	过渡 (guò dù)
Después	过后 (guò hòu)
Anticuado	过时 (guò shí)
póster	海报 (hǎi bào)
fondo del mar	海底 (hǎi dǐ)
marina de guerra	海军 (hǎi jūn)
ondas	海浪 (hǎi làng)
en el extranjero	海外 (hǎi wài)
bahía	海湾 (hǎi wān)
océano	海洋 (hǎi yáng)
Con gran dificultad	好不容易 (hǎo bù róng yì)
con gran dificultad	好容易 (hǎo róng yì)
parece	好似 (hǎo sì)
estudioso	好学 (hào xué)
mejorar	好转 (hǎo zhuǎn)
contrato	合约 (hé yuē)
armonioso	和谐 (hé xié)
centro	核心 (hé xīn)
noche oscura	黑夜 (hēi yè)
difícil de decir	很难说 (hěn nán shuō)
implacable	狠 (hěn)
medida	衡量 (héng liáng)
magnífico	宏大 (hóng dà)
inundación	洪水 (hóng shuǐ)
descuido	忽略 (hū lüè)
olla	壶 (hú)
interactivo	互动 (hù dòng)
proteger	护 (hù)
gastar	花费 (huā fèi)
florero	花瓶 (huā píng)
maní	花生 (huā shēng)
resolver	化解 (huà jiě)
fantasía	幻想 (huàn xiǎng)
paciente	患者 (huàn zhě)
emperador	皇帝 (huáng dì)
responder	回应 (huí yìng)
destruir	毁 (huǐ)
encontrarse	会见 (huì jiàn)
Presidente	会长 (huì zhǎng)
cuadro	绘画 (huì huà)
débil	昏 (hūn)
mezcla	混 (hùn)
mezcla	混合 (hùn hé)
confusión	混乱 (hùn luàn)
activo	活跃 (huó yuè)
Cohete	火箭 (huǒ jiàn)
vehículo de motor	机动车 (jī dòng chē)
órgano	机关 (jī guān)
mecánico	机械 (jī xiè)
cristianismo	基督教 (jī dū jiào)
Pasión	激情 (jī qíng)
propicio	吉利 (jí lì)
propicio	吉祥 (jí xiáng)
extremo	极端 (jí duān)
primeros auxilios	急救 (jí jiù)
enfermedad	疾病 (jí bìng)
colocar	集 (jí)
Unirse	加盟 (jiā méng)
berenjena	茄子 (qié zi)
electrodomésticos	家电 (jiā diàn)
hogar	家园 (jiā yuán)
Invitado	嘉宾 (jiā bīn)
día festivo	假日 (jià rì)
consejo	尖 (jiān)
monitor	监测 (jiān cè)
supervisar	监督 (jiān dū)
levantar	捡 (jiǎn)
Introducción	简介 (jiǎn jiè)
espada	剑 (jiàn)
identificación	鉴定 (jiàn dìng)
flecha	箭 (jiàn)
general	将军 (jiāng jūn)
conferencia	讲课 (jiǎng kè)
Salsa	酱 (jiàng)
salsa de soja	酱油 (jiàng yóu)
orgullo	骄傲 (jiāo ào)
enfocar	焦点 (jiāo diǎn)
huella	脚印 (jiǎo yìn)
iglesia	教堂 (jiào táng)
Ministerio de Educación	教育部 (jiào yù bù)
tomar el control	接收 (jiē shōu)
descubrir	揭 (jiē)
calle	街头 (jiē tóu)
vacaciones	节假日 (jié jià rì)
Ahorro de energía	节能 (jié néng)
Ritmo	节奏 (jié zòu)
Pendiente	杰出 (jié chū)
Fecha límite	截止 (jié zhǐ)
A partir de	截至 (jié zhì)
desatar	解 (jiě)
Comentario	解说 (jiě shuō)
límite	界 (jiè)
Aprende de	借鉴 (jiè jiàn)
Cantidad	金额 (jīn é)
dinero	金钱 (jīn qián)
finanzas	金融 (jīn róng)
escape	尽 (jǐn)
recientemente	近日 (jìn rì)
Miope	近视 (jìn shì)
ataque	进攻 (jìn gōng)
asombroso	惊人 (jīng rén)
sorpresa	惊喜 (jīng xǐ)
Refinado	精 (jīng)
bien	精美 (jīng měi)
Boutique	精品 (jīng pǐn)
Bueno	井 (jǐng)
escena	景 (jǐng)
Atracciones	景点 (jǐng diǎn)
neto	净 (jìng)
disputar	纠纷 (jiū fēn)
correcto	纠正 (jiū zhèng)
bebidas	酒水 (jiǔ shuǐ)
Ayuda	救命 (jiù mìng)
rescate	救援 (jiù yuán)
rescate	救助 (jiù zhù)
eso es	就是说 (jiù shì shuō)
drama	剧 (jù)
de acuerdo a	据 (jù)
donar	捐 (juān)
Donar	捐款 (juān kuǎn)
Donar	捐赠 (juān zèng)
Donar	捐助 (juān zhù)
Toma de decisiones	决策 (jué cè)
Absolutamente	绝 (jué)
gran mayoría	绝大多数 (jué dà duō shù)
Dormir	觉 (jué)
conciencia	觉悟 (jué wù)
ejército	军队 (jūn duì)
buque de guerra	军舰 (jūn jiàn)
militar	军事 (jūn shì)
Crear	开创 (kāi chuàng)
cambiar	开关 (kāi guān)
abierto	开设 (kāi shè)
Abierto	开通 (kāi tōng)
comienzo	开头 (kāi tóu)
Quema el aceite de medianoche	开夜车 (kāi yè chē)
visible	看得见 (kàn dé jiàn)
Asequible	看得起 (kàn de qǐ)
guardia	看管 (kān guǎn)
optimista	看好 (kàn hǎo)
considerado como	看作 (kàn zuò)
recuperación	康复 (kāng fù)
protesta	抗议 (kàng yì)
sala de examen	考场 (kǎo chǎng)
preguntas del examen	考题 (kǎo tí)
investigación	科研 (kē yán)
autobús	客车 (kè chē)
Conocido	肯 (kěn)
fuerzas aéreas	空军 (kōng jūn)
oral	口试 (kǒu shì)
hebilla	扣 (kòu)
Frío	酷 (kù)
al otro lado de	跨 (kuà)
tren rápido	快车 (kuài chē)
ancho	宽阔 (kuān kuò)
mío	矿 (kuàng)
ancho	阔 (kuò)
La	啦 (la)
vaivén	来往 (lái wǎng)
confiar	赖 (lài)
Columna	栏目 (lán mù)
cuello azul	蓝领 (lán lǐng)
cielo azul	蓝天 (lán tiān)
perezoso	懒 (lǎn)
prisión	牢 (láo)
compatriota	老乡 (lǎo xiāng)
música	乐曲 (yuè qǔ)
acondicionador de aire	冷气 (lěng qì)
agua fría	冷水 (lěng shuǐ)
sala	礼堂 (lǐ táng)
razón	理 (lǐ)
gestión financiera	理财 (lǐ cái)
razón	理智 (lǐ zhì)
ganancia	利 (lì)
alianza	联盟 (lián méng)
liga	联赛 (lián sài)
Unir fuerzas	联手 (lián shǒu)
sandalias	凉鞋 (liáng xié)
ambos lados	两侧 (liǎng cè)
ambas manos	两手 (liǎng shǒu)
charlar	聊 (liáo)
Charlar	聊天儿 (liáo tiān ér)
tarifa	料 (liào)
grieta	裂 (liè)
flexible	灵活 (líng huó)
recibir	领取 (lǐng qǔ)
líder	领袖 (lǐng xiù)
Otro	另 (lìng)
influenza	流感 (liú gǎn)
mensaje	留言 (liú yán)
corredor	楼道 (lóu dào)
edificio	楼房 (lóu fáng)
ejército	陆军 (lù jūn)
Video	录像 (lù xiàng)
grabadora	录音机 (lù yīn jī)
pasando por	路过 (lù guò)
rocío	露 (lù)
hotel	旅店 (lǚ diàn)
verdeado	绿化 (lǜ huà)
carro	马车 (mǎ chē)
Bien	嘛 (ma)
enterrar	埋 (mái)
pan al vapor	馒头 (mán tou)
local	慢车 (màn chē)
ciego	盲人 (máng rén)
confiscado	没收 (mò shōu)
pechuga de ciruela	梅花 (méi huā)
belleza	美容 (měi róng)
mongol	蒙 (méng)
feroz	猛 (měng)
secretario general	秘书长 (mì shū zhǎng)
algodón	棉 (mián)
para que no	免得 (miǎn de)
cara a cara	面对面 (miàn duì miàn)
Para	面向 (miàn xiàng)
Extraño	妙 (miào)
destruir	灭 (miè)
canción popular	民歌 (mín gē)
trabajadores migrantes	民工 (mín gōng)
policía	民警 (mín jǐng)
opinión pública	民意 (mín yì)
democracia	民主 (mín zhǔ)
Cuota	名额 (míng é)
lugar de interés	名胜 (míng shèng)
nombre	名义 (míng yì)
honor	名誉 (míng yù)
mañana	明日 (míng rì)
vida	命 (mìng)
membrana	膜 (mó)
moler	磨 (mó)
tinta	墨水 (mò shuǐ)
madre	母 (mǔ)
gallina	母鸡 (mǔ jī)
madre e hija	母女 (mǔ nǚ)
madre e hijo	母子 (mǔ zi)
tumba	墓 (mù)
llevar	拿走 (ná zǒu)
leche en polvo	奶粉 (nǎi fěn)
vaca lechera	奶牛 (nǎi niú)
memorable	难忘 (nán wàng)
Continente	内地 (nèi dì)
dentro y fuera	内外 (nèi wài)
ropa interior	内衣 (nèi yī)
poder	能否 (néng fǒu)
lodo	泥 (ní)
girar	扭 (niǔ)
lista de clasificación	排行榜 (pái háng bǎng)
enviar	派出 (pài chū)
juez	判 (pàn)
esperanza	盼望 (pàn wàng)
Burbuja	泡 (pào)
pistola	炮 (pào)
acompañar	陪同 (péi tóng)
Configuración	配置 (pèi zhì)
pelota	皮球 (pí qiú)
parcial	偏 (piān)
pobre	贫困 (pín kùn)
marca	品牌 (pǐn pái)
contratar	聘请 (pìn qǐng)
común	平凡 (píng fán)
metros cuadrados	平方米 (píng fāng mǐ)
balance	平衡 (píng héng)
plataforma	平台 (píng tái)
comentario	评 (píng)
Selección	评选 (píng xuǎn)
Pantalla	屏幕 (píng mù)
pendiente	坡 (pō)
aleteo	扑 (pū)
comercio	铺 (pù)
Matón	欺负 (qī fù)
maravilloso	奇妙 (qí miào)
intentar	企图 (qǐ tú)
punto de partida	起点 (qǐ diǎn)
demandar	起诉 (qǐ sù)
atmósfera	气氛 (qì fēn)
adecuado	恰当 (qià dàng)
exactamente	恰好 (qià hǎo)
precisamente	恰恰 (qià qià)
dirigir	牵 (qiān)
lápiz	铅笔 (qiān bǐ)
modestia	谦虚 (qiān xū)
adelante	前方 (qián fāng)
Venir	前来 (qián lái)
potencial	潜力 (qián lì)
ladrón	强盗 (qiáng dào)
fortalecer	强化 (qiáng huà)
Fuerte	强势 (qiáng shì)
fuerte	强壮 (qiáng zhuàng)
puente	桥梁 (qiáo liáng)
inteligente	巧妙 (qiǎo miào)
práctico	切实 (qiè shí)
parientes	亲属 (qīn shǔ)
con tus propios ojos	亲眼 (qīn yǎn)
infringir	侵犯 (qīn fàn)
tendencia	倾向 (qīng xiàng)
claro	清 (qīng)
limpio	清洁 (qīng jié)
limpiador	清洁工 (qīng jié gōng)
Festival Qingming	清明节 (qīng míng jié)
Limpio	清洗 (qīng xǐ)
ánimo	情绪 (qíng xù)
buscando un trabajo	求职 (qiú zhí)
raqueta	球拍 (qiú pāi)
estrella	球星 (qiú xīng)
jugador	球员 (qiú yuán)
distinguir	区分 (qū fēn)
canal	渠道 (qú dào)
retirar dinero	取款 (qǔ kuǎn)
cajero automático	取款机 (qǔ kuǎn jī)
eliminar	去掉 (qù diào)
completamente	全力 (quán lì)
Para estrenar	全新 (quán xīn)
bien	权 (quán)
ese poder	权力 (quán lì)
boleto	券 (quàn)
defecto	缺陷 (quē xiàn)
pero lo es	却是 (què shì)
Renuncia a tu asiento	让座 (ràng zuò)
Punto de acceso	热点 (rè diǎn)
agua caliente	热水 (rè shuǐ)
calentador de agua	热水器 (rè shuǐ qì)
línea directa	热线 (rè xiàn)
derechos humanos	人权 (rén quán)
aceptar	认同 (rèn tóng)
día y noche	日夜 (rì yè)
japonés	日语 (rì yǔ)
Fusión	融合 (róng hé)
mezclarse con	融入 (róng rù)
como	如 (rú)
Ruyi	如一 (rú yī)
productos lácteos	乳制品 (rǔ zhì pǐn)
ingresar	入 (rù)
Admisión	入学 (rù xué)
como	若 (ruò)
enchufar	塞 (sāi)
carrera	赛 (sài)
Arena	赛场 (sài chǎng)
sándwich	三明治 (sān míng zhì)
perder	丧失 (sàng shī)
pico de la montaña	山峰 (shān fēng)
valle	山谷 (shān gǔ)
ladera	山坡 (shān pō)
Herida	伤口 (shāng kǒu)
damnificados	伤亡 (shāng wáng)
herido	伤员 (shāng yuán)
Centro comercial	商城 (shāng chéng)
trabajadores de oficina	上班族 (shàng bān zú)
Déjate engañar	上当 (shàng dàng)
Dios	上帝 (shàng dì)
Listado	上市 (shàng shì)
sube al escenario	上台 (shàng tái)
escenario	上演 (shàng yǎn)
Cuchara	勺 (sháo)
niños	少儿 (shào ér)
Lengua	舌头 (shé tou)
diseñador	设计师 (shè jì shī)
involucrando	涉及 (shè jí)
profundizar	深化 (shēn huà)
profundamente	深深 (shēn shēn)
revisar	审查 (shěn chá)
mejora	升级 (shēng jí)
Educación adicional	升学 (shēng xué)
apreciación	升值 (shēng zhí)
gastos de manutención	生活费 (shēng huó fèi)
ahorrar dinero	省钱 (shěng qián)
Navidad	圣诞节 (shèng dàn jié)
prevalecer	盛行 (shèng xíng)
maestro	师父 (shī fù)
profesores y estudiantes	师生 (shī shēng)
a veces	时而 (shí ér)
estación	时节 (shí jié)
período	时期 (shí qī)
todo el tiempo	时时 (shí shí)
moda	时装 (shí zhuāng)
práctica	实践 (shí jiàn)
apetito	食欲 (shí yù)
ciudadano	市民 (shì mín)
después	事后 (shì hòu)
piloto	试点 (shì diǎn)
adecuado	适当 (shì dàng)
conocimiento	识 (shí)
Alfabetismo	识字 (shí zì)
recolectar	收藏 (shōu cáng)
cargar	收取 (shōu qǔ)
adopción	收养 (shōu yǎng)
tarifa de manejo	手续费 (shǒu xù fèi)
primero	首次 (shǒu cì)
cumbre	首脑 (shǒu nǎo)
jefe	首席 (shǒu xí)
Primer ministro	首相 (shǒu xiàng)
estudiar	书房 (shū fáng)
papas fritas	薯片 (shǔ piàn)
papas fritas	薯条 (shǔ tiáo)
dobles	双打 (shuāng dǎ)
Fresco	爽 (shuǎng)
cemento	水泥 (shuǐ ní)
impuesto	税 (shuì)
Rehuir	顺 (shùn)
manual	说明书 (shuō míng shū)
para ser sincero	说实话 (shuō shí huà)
Director	司长 (sī zhǎng)
morir	死亡 (sǐ wáng)
alrededor	四处 (sì chù)
templo	寺 (sì)
dar regalos	送礼 (sòng lǐ)
enviar	送行 (sòng xíng)
calidad	素质 (sù zhì)
no importa	算了 (suàn le)
Eso es todo	算是 (suàn shì)
a pesar de	虽 (suī)
edad	岁数 (suì shù)
torre	塔 (tǎ)
pisada	踏 (tà)
firme	踏实 (tà shí)
lámpara de escritorio	台灯 (tái dēng)
energía solar	太阳能 (tài yáng néng)
suspiro	叹气 (tàn qì)
explorar	探索 (tàn suǒ)
Conversar	探讨 (tàn tǎo)
viaje	趟 (tàng)
excavar	掏 (tāo)
especial	特 (tè)
extra grande	特大 (tè dà)
especialmente	特地 (tè dì)
expresar	特快 (tè kuài)
especialmente	特意 (tè yì)
dolor	疼痛 (téng tòng)
Patada	踢 (tī)
entregar	提交 (tí jiāo)
promover	提升 (tí shēng)
natural	天然 (tiān rán)
Cielo	天堂 (tiān táng)
mundo	天下 (tiān xià)
agregar	添 (tiān)
campo	田 (tián)
pista y campo	田径 (tián jìng)
buceo	跳水 (tiào shuǐ)
escuchar	听取 (tīng qǔ)
informar	通报 (tōng bào)
pasillo	通道 (tōng dào)
rojo	通红 (tōng hóng)
llamar	通话 (tōng huà)
aprobar	通行 (tōng xíng)
comunicación	通讯 (tōng xùn)
mismo	同 (tóng)
compatriotas	同胞 (tóng bāo)
mismo periodo	同期 (tóng qī)
colegas	同行 (tóng háng)
mismo	同一 (tóng yī)
medalla de bronce	铜牌 (tóng pái)
Dolor de cabeza	头疼 (tóu téng)
votar	投票 (tóu piào)
revelar	透露 (tòu lù)
libros	图书 (tú shū)
aprendiz	徒弟 (tú dì)
forma	途径 (tú jìng)
equipo	团队 (tuán duì)
desenrollar	推出 (tuī chū)
Reembolso	退票 (tuì piào)
tragar	吞 (tūn)
Confianza	托 (tuō)
arrastrar	拖 (tuō)
zapatillas	拖鞋 (tuō xié)
excavar	挖 (wā)
bebé	娃娃 (wá wá)
Guau	哇 (wa)
moneda extranjera	外币 (wài bì)
externo	外部 (wài bù)
salir	外出 (wài chū)
Apariencia	外观 (wài guān)
quirúrgico	外科 (wài kē)
extranjero	外来 (wài lái)
afuera	外头 (wài tou)
abrigo	外衣 (wài yī)
inversión extranjera	外资 (wài zī)
doblando	弯曲 (wān qū)
travieso	顽皮 (wán pí)
tenaz	顽强 (wán qiáng)
reina	王后 (wáng hòu)
príncipe	王子 (wáng zǐ)
cibercafé	网吧 (wǎng ba)
Página web	网页 (wǎng yè)
más tarde	往后 (wǎng hòu)
contactos	往来 (wǎng lái)
en años anteriores	往年 (wǎng nián)
ver	望见 (wàng jiàn)
crisis	危机 (wēi jī)
amenazar	威胁 (wēi xié)
Microondas	微波炉 (wēi bō lú)
vitaminas	维生素 (wéi shēng sù)
Para tal fin	为此 (wèi cǐ)
por qué	为何 (wèi hé)
Entretenimiento	文娱 (wén yú)
litera	卧铺 (wò pù)
nubes oscuras	乌云 (wū yún)
Sin límites	无边 (wú biān)
irrelevante	无关 (wú guān)
inválido	无效 (wú xiào)
bailar	舞蹈 (wǔ dǎo)
cosa	物品 (wù pǐn)
error	误 (wù)
droga	吸毒 (xī dú)
sacrificio	牺牲 (xī shēng)
jabón en polvo	洗衣粉 (xǐ yī fěn)
drama	戏曲 (xì qǔ)
celúla	细胞 (xì bāo)
