comodidad	安慰 (ān wèi)
planificación	规划 (guī huà)
fantasma	鬼 (guǐ)
gabinete	柜子 (guì zi)
rollo	滚 (gǔn)
olla	锅 (guō)
nacionalidad	国籍 (guó jí)
nacional	国民 (guó mín)
encima	过度 (guò dù)
alergia	过敏 (guò mǐn)
también	过于 (guò yú)
tos	咳 (ké)
Dañino	害 (hài)
sudor	汗 (hàn)
buena suerte	好运 (hǎo yùn)
llamar a las armas	号召 (hào zhào)
unir	合并 (hé bìng)
síntesis	合成 (hé chéng)
caja	盒 (hé)
almuerzo en caja	盒饭 (hé fàn)
Caja	盒子 (hé zi)
tarjeta de felicitación	贺卡 (hè kǎ)
odio	恨 (hèn)
mono	猴 (hóu)
callejón	胡同儿 (hú tòng ér)
barba	胡子 (hú zi)
Tigre	虎 (hǔ)
Chino	华语 (huá yǔ)
deslizar	滑 (huá)
fósil	化石 (huà shí)
dividir	划分 (huà fēn)
pantalla	画面 (huà miàn)
enlace	环节 (huán jié)
pánico	慌 (huāng)
apresurado	慌忙 (huāng máng)
gris	灰色 (huī sè)
recuperar	恢复 (huī fù)
devolver	回报 (huí bào)
evitación	回避 (huí bì)
revisar	回顾 (huí gù)
Reciclar	回收 (huí shōu)
mirar hacia atrás	回头 (huí tóu)
responder	回信 (huí xìn)
recordar	回忆 (huí yì)
transferencia de dinero	汇款 (huì kuǎn)
negociaciones	会谈 (huì tán)
vitalidad	活力 (huó lì)
dinámico	活泼 (huó pō)
partidos	火柴 (huǒ chái)
Jamón	火腿 (huǒ tuǐ)
fuego	火灾 (huǒ zāi)
O	或是 (huò shì)
robot	机器人 (jī qì rén)
mecanismo	机制 (jī zhì)
músculo	肌肉 (jī ròu)
base	基地 (jī dì)
financiar	基金 (jī jīn)
a pesar de	即使 (jí shǐ)
grupo	集团 (jí tuán)
estrujar	挤 (jǐ)
memoria	记忆 (jì yì)
Habilidad	技能 (jì néng)
heredar	继承 (jì chéng)
calefacción	加热 (jiā rè)
más	加上 (jiā shàng)
acelerar	加速 (jiā sù)
agregar	加以 (jiā yǐ)
carpeta	夹 (jiā)
Primero	甲 (jiǎ)
precio	价 (jià)
conducir	驾驶 (jià shǐ)
licencia de conducir	驾照 (jià zhào)
firme	坚定 (jiān dìng)
indirecto	间接 (jiàn jiē)
hombro	肩 (jiān)
duro	艰苦 (jiān kǔ)
difícil	艰难 (jiān nán)
aliviar	减轻 (jiǎn qīng)
Cortar	剪 (jiǎn)
Tijeras	剪刀 (jiǎn dāo)
tijeras	剪子 (jiǎn zi)
prueba	检验 (jiǎn yàn)
Hospedarse	建造 (jiàn zào)
arquitectura	建筑 (jiàn zhù)
sonido	健全 (jiàn quán)
llave	键 (jiàn)
teclado	键盘 (jiàn pán)
Voluntad	将 (jiāng)
voluntad	将要 (jiāng yào)
otorgar	奖励 (jiǎng lì)
explicar	交代 (jiāo dài)
afueras	郊区 (jiāo qū)
cinta adhesiva	胶带 (jiāo dài)
pegamento	胶水 (jiāo shuǐ)
paso	脚步 (jiǎo bù)
tocar	接触 (jiē chù)
sucesivamente	接连 (jiē lián)
Elevar	解除 (jiě chú)
liberación	解放 (jiě fàng)
abandonar	戒 (jiè)
sesión	届 (jiè)
hoy	今日 (jīn rì)
a pesar de	尽管 (jǐn guǎn)
todo lo posible	尽可能 (jǐn kě néng)
estrechamente	紧紧 (jǐn jǐn)
recientemente	近来 (jìn lái)
evolución	进化 (jìn huà)
Fondos	经费 (jīng fèi)
escena	景象 (jǐng xiàng)
advertir	警告 (jǐng gào)
competencia	竞赛 (jìng sài)
borracho	酒鬼 (jiǔ guǐ)
Ayuda en casos de desastre	救灾 (jiù zāi)
De hecho	居然 (jū rán)
situación	局面 (jú miàn)
Director	局长 (jú zhǎng)
mover	举动 (jǔ dòng)
club	俱乐部 (jù lè bù)
guion	剧本 (jù běn)
nunca	决不 (jué bù)
desesperación	绝望 (jué wàng)
soldado	军人 (jūn rén)
apertura	开幕 (kāi mù)
ceremonia de apertura	开幕式 (kāi mù shì)
considerado como	看成 (kàn chéng)
ver	看出 (kàn chū)
tratar	看待 (kàn dài)
evaluación	考核 (kǎo hé)
barbacoa	烤肉 (kǎo ròu)
Pato asado	烤鸭 (kǎo yā)
cerca	靠近 (kào jìn)
grano	颗 (kē)
Poder	可 (kě)
Lamentable	可怜 (kě lián)
ansioso	渴望 (kě wàng)
educado	客气 (kè qì)
sala de estar	客厅 (kè tīng)
Tema	课题 (kè tí)
afirmar	肯定 (kěn dìng)
aire	空中 (kōng zhōng)
control	控制 (kòng zhì)
eslogan	口号 (kǒu hào)
Biblioteca	库 (kù)
feliz	快活 (kuài huó)
ancho	宽度 (kuān dù)
enojado	狂 (kuáng)
déficit	亏 (kuī)
Preocupado	困扰 (kùn rǎo)
Carta	来信 (lái xìn)
podrido	烂 (làn)
leer en voz alta	朗读 (lǎng dú)
romántico	浪漫 (làng màn)
mano de obra	劳动 (láo dòng)
pera	梨 (lí)
Gracias	礼 (lǐ)
culto	礼拜 (lǐ bài)
educado	礼貌 (lǐ mào)
afilado	厉害 (lì hài)
pararse	立 (lì)
posición	立场 (lì chǎng)
ganancia	利润 (lì rùn)
excepción	例外 (lì wài)
conectar	连接 (lián jiē)
contacto	联络 (lián luò)
lenovo	联想 (lián xiǎng)
lavabo	脸盆 (liǎn pén)
rostro	脸色 (liǎn sè)
enamorado	恋爱 (liàn ài)
ambos lados del estrecho	两岸 (liǎng àn)
Vecino	邻居 (lín jū)
campana	铃 (líng)
anillo	铃声 (líng shēng)
atar	领带 (lǐng dài)
hacer	令 (lìng)
fluir	流动 (liú dòng)
circulación	流通 (liú tōng)
filtración	漏 (lòu)
lagunas	漏洞 (lòu dòng)
dirigir	率领 (shuài lǐng)
lógica	逻辑 (luó jí)
implementar	落实 (luò shí)
muelle	码头 (mǎ tóu)
regañar	骂 (mà)
comprar y vender	买卖 (mǎi mài)
historietas	漫画 (màn huà)
largo	漫长 (màn cháng)
pincel de escritura	毛笔 (máo bǐ)
contradicción	矛盾 (máo dùn)
riesgo	冒 (mào)
comercio	贸易 (mào yì)
carbón	煤 (méi)
gas	煤气 (méi qì)
clínica ambulatoria	门诊 (mén zhěn)
encantador	迷人 (mí rén)
supersticioso	迷信 (mí xìn)
rostro	面貌 (miàn mào)
rostro	面子 (miàn zi)
Segundo	秒 (miǎo)
sensible	敏感 (mǐn gǎn)
brillante	明亮 (míng liàng)
Obviamente	明明 (míng míng)
Orden	命令 (mìng lìng)
modelo	模范 (mó fàn)
imitar	模仿 (mó fǎng)
Impreciso	模糊 (mó hú)
modelo	模式 (mó shì)
apariencia	模样 (mú yàng)
fricción	摩擦 (mó cā)
motocicleta	摩托 (mó tuō)
mirar	目光 (mù guāng)
paciencia	耐心 (nài xīn)
masculino	男性 (nán xìng)
norte y sur	南北 (nán běi)
Antártida	南极 (nán jí)
extraño	难得 (nán dé)
difícil	难以 (nán yǐ)
cerebro	脑子 (nǎo zi)
interno	内在 (nèi zài)
energía	能量 (néng liàng)
año	年度 (nián dù)
edad	年龄 (nián líng)
hace años que	年前 (nián qián)
vaqueros	牛仔裤 (niú zǎi kù)
productos agrícolas	农产品 (nóng chǎn pǐn)
mujer	女性 (nǚ xìng)
cálido	暖 (nuǎn)
Ocasionalmente	偶尔 (ǒu ěr)
accidental	偶然 (ǒu rán)
Ídolo	偶像 (ǒu xiàng)
tiroteo	拍摄 (pāi shè)
excluir	排除 (pái chú)
al lado de	旁 (páng)
acompañar	陪 (péi)
pagar	赔 (péi)
compensación	赔偿 (péi cháng)
equipado	配备 (pèi bèi)
Secundario	配套 (pèi tào)
pulverización	喷 (pēn)
olla	盆 (pén)
Fi	披 (pī)
piel	皮肤 (pí fū)
zapatos de cuero	皮鞋 (pí xié)
temperamento	脾气 (pí qì)
animal	匹 (pǐ)
engañar	骗 (piàn)
fraude	骗子 (piàn zi)
deletrear	拼 (pīn)
canal	频道 (pín dào)
frecuentemente	频繁 (pín fán)
Bienes	品 (pǐn)
variedad	品种 (pǐn zhǒng)
departamento	平坦 (píng tǎn)
plano	平原 (píng yuán)
Evaluar	评估 (píng gū)
Comentario	评论 (píng lùn)
Por	凭 (píng)
chapoteo	泼 (pō)
Uva	葡萄 (pú táo)
vino	葡萄酒 (pú táo jiǔ)
esperar	期望 (qī wàng)
completo	齐全 (qí quán)
Eso	其 (qí)
puesta en marcha	启动 (qǐ dòng)
Inspirar	启发 (qǐ fā)
aviso	启事 (qǐ shì)
Jugar	起到 (qǐ dào)
al menos	起码 (qǐ mǎ)
gas	气体 (qì tǐ)
meteorológico	气象 (qì xiàng)
firmar	签 (qiān)
Firmar	签订 (qiān dìng)
firmar	签名 (qiān míng)
firmar un contrato	签约 (qiān yuē)
firma	签字 (qiān zì)
prospecto	前景 (qián jǐng)
premisa	前提 (qián tí)
deber	欠 (qiàn)
pistola	枪 (qiāng)
fortaleza	强度 (qiáng dù)
fuerza	强迫 (qiǎng pò)
muro	墙壁 (qiáng bì)
Robar	抢 (qiǎng)
rescate	抢救 (qiǎng jiù)
en silencio	悄悄 (qiāo qiāo)
golpear	敲 (qiāo)
Toca la puerta	敲门 (qiāo mén)
Mirar	瞧 (qiáo)
piano	琴 (qín)
diligente	勤奋 (qín fèn)
verde	青 (qīng)
madrugada	清晨 (qīng chén)
limpiar	清理 (qīng lǐ)
trama	情节 (qíng jié)
situación	情形 (qíng xíng)
soleado	晴朗 (qíng lǎng)
área	区域 (qū yù)
todo	全都 (quán dōu)
mundial	全世界 (quán shì jiè)
primavera	泉 (quán)
aconsejar	劝 (quàn)
falta	缺乏 (quē fá)
establecer	确立 (què lì)
grupo	群体 (qún tǐ)
las masas	群众 (qún zhòng)
teñir	染 (rǎn)
alrededor	绕 (rào)
calor	热量 (rè liàng)
Popular	热门 (rè mén)
mundo	人间 (rén jiān)
mano de obra	人力 (rén lì)
persona	人士 (rén shì)
cifra	人物 (rén wù)
Tolerar	忍 (rěn)
no puedo evitarlo	忍不住 (rěn bú zhù)
Oso	忍受 (rěn shòu)
reconocer	认 (rèn)
identificar	认定 (rèn dìng)
Aún	仍旧 (réng jiù)
de este modo	如此 (rú cǐ)
como	如同 (rú tóng)
como sigue	如下 (rú xià)
empezando	入门 (rù mén)
suave	软 (ruǎn)
software	软件 (ruǎn jiàn)
espolvorear	洒 (sǎ)
prosa	散文 (sǎn wén)
matar	杀 (shā)
antivirus	杀毒 (shā dú)
desierto	沙漠 (shā mò)
estúpido	傻 (shǎ)
zona montañosa	山区 (shān qū)
admirador	扇 (shàn)
admirador	扇子 (shàn zi)
marca	商标 (shāng biāo)
Superior	上级 (shàng jí)
arriba y abajo	上下 (shàng xià)
elevar	上涨 (shàng zhǎng)
un poco	稍 (shāo)
un poco	稍微 (shāo wēi)
serpiente	蛇 (shé)
Reacio a separarse de él	舍不得 (shě bù dé)
dispuesto a rendirse	舍得 (shě de)
Imaginar	设想 (shè xiǎng)
compañía	社 (shè)
Comunidad	社区 (shè qū)
disparar	射 (shè)
tiroteo	射击 (shè jī)
cámara	摄像 (shè xiàng)
cámara	摄像机 (shè xiàng jī)
fotografía	摄影 (shè yǐng)
fotógrafo	摄影师 (shè yǐng shī)
estirar	伸 (shēn)
profundo	深处 (shēn chù)
profundidad	深度 (shēn dù)
dios	神 (shén)
nervio	神经 (shén jīng)
magia	神奇 (shén qí)
mirar	神情 (shén qíng)
elevar	升高 (shēng gāo)
generar	生成 (shēng chéng)
voz	声 (shēng)
Victoria o derrota	胜负 (shèng fù)
izquierda	剩 (shèng)
permanecer	剩下 (shèng xià)
Error	失误 (shī wù)
maestro	师傅 (shī fù)
poesía	诗歌 (shī gē)
Lleno	十足 (shí zú)
a menudo	时常 (shí cháng)
tiempo	时光 (shí guāng)
oportunidad	时机 (shí jī)
eventos actuales	时事 (shí shì)
Asequible	实惠 (shí huì)
hacer	使得 (shǐ de)
demostración	示范 (shì fàn)
Modo	式 (shì)
fuerza	势力 (shì lì)
video	视频 (shì pín)
considerado como	视为 (shì wèi)
intentar	试图 (shì tú)
levantar	拾 (shí)
adquisición	收购 (shōu gòu)
recolectar	收集 (shōu jí)
ordenado	收拾 (shōu shí)
medio	手段 (shǒu duàn)
técnica	手法 (shǒu fǎ)
sushi	寿司 (shòu sī)
Desastre	受灾 (shòu zāi)
delgado	瘦 (shòu)
caligrafía	书法 (shū fǎ)
estantería	书柜 (shū guì)
escritorio	书桌 (shū zhuō)
producción	输出 (shū chū)
verdura	蔬菜 (shū cài)
familiar	熟悉 (shú xī)
ratón	鼠 (shǔ)
ratón	鼠标 (shǔ biāo)
número	数目 (shù mù)
caer	摔 (shuāi)
caer	摔倒 (shuāi dǎo)
manos	双手 (shuāng shǒu)
Productos acuáticos	水产品 (shuǐ chǎn pǐn)
humedad	水分 (shuǐ fèn)
depósito	水库 (shuǐ kù)
inundación	水灾 (shuǐ zāi)
dormir	睡眠 (shuì mián)
declaración	说法 (shuō fǎ)
privado	私人 (sī rén)
pensamiento	思维 (sī wéi)
por todos lados	四周 (sì zhōu)
buscar	搜 (sōu)
buscar	搜索 (sōu suǒ)
dormitorio	宿舍 (sù shè)
vaivenes	酸甜苦辣 (suān tián kǔ là)
después	随后 (suí hòu)
aleatorio	随意 (suí yì)
junto con	随着 (suí zhe)
años	岁月 (suì yuè)
roto	碎 (suì)
daño	损害 (sǔn hài)
pérdida	损失 (sǔn shī)
ubicación	所在 (suǒ zài)
Cerrar	锁 (suǒ)
tifón	台风 (tái fēng)
elevar	抬 (tái)
buscar	抬头 (tái tóu)
espacio	太空 (tài kōng)
escapar	逃 (táo)
huir	逃跑 (táo pǎo)
escapar	逃走 (táo zǒu)
durazno	桃 (táo)
flor de durazno	桃花 (táo huā)
durazno	桃树 (táo shù)
Odiar	讨厌 (tǎo yàn)
identificación	特定 (tè dìng)
característica	特性 (tè xìng)
único	特有 (tè yǒu)
promover	提倡 (tí chàng)
Sacar un tema	提起 (tí qǐ)
pista	提示 (tí shì)
tema	题材 (tí cái)
volumen	体积 (tǐ jī)
fuerza fisica	体力 (tǐ lì)
genio	天才 (tiān cái)
gas natural	天然气 (tiān rán qì)
astronómico	天文 (tiān wén)
sala	厅 (tīng)
permanecer	停留 (tíng liú)
Universal	通用 (tōng yòng)
robar	偷 (tōu)
secretamente	偷偷 (tōu tōu)
descubrimiento	突破 (tū pò)
Papa	土豆 (tǔ dòu)
vomitar	吐 (tǔ)
conejo	兔 (tù)
líder	团长 (tuán zhǎng)
promover	推行 (tuī xíng)
separarse	脱离 (tuō lí)
mundo exterior	外界 (wài jiè)
terminación	完了 (wán le)
Weibo	微博 (wēi bó)
alrededor	围绕 (wéi rào)
Ilegal	违法 (wéi fǎ)
violación	违反 (wéi fǎn)
Violación	违规 (wéi guī)
solo	唯一 (wéi yī)
confiar	委托 (wěi tuō)
satélite	卫星 (wèi xīng)
Avergonzado	为难 (wéi nán)
término	为期 (wéi qī)
hasta	为止 (wéi zhǐ)
Principalmente	为主 (wéi zhǔ)
Estómago	胃 (wèi)
Condolencias	慰问 (wèi wèn)
leve	温和 (wēn hé)
literatura y arte	文艺 (wén yì)
dormitorio	卧室 (wò shì)
agarre	握 (wò)
contaminar	污染 (wū rǎn)
aguas residuales	污水 (wū shuǐ)
comercio	屋 (wū)
no tengo elección	无奈 (wú nài)
indudablemente	无疑 (wú yí)
bailar	舞 (wǔ)
precios	物价 (wù jià)
Propiedad	物业 (wù yè)
sustancia	物质 (wù zhì)
malentendido	误解 (wù jiě)
comedia	喜剧 (xǐ jù)
jugar	戏 (xì)
drama	戏剧 (xì jù)
tomate	西红柿 (xī hóng shì)
Traje	西装 (xī zhuāng)
susto	吓 (xià)
sucesivamente	先后 (xiān hòu)
previamente	先前 (xiān qián)
brillante	鲜艳 (xiān yàn)
inactivo	闲 (xián)
espectáculo	显 (xiǎn)
existente	现有 (xiàn yǒu)
status quo	现状 (xiàn zhuàng)
clave	线索 (xiàn suǒ)
oferta	献 (xiàn)
Municipio	乡 (xiāng)
rural	乡村 (xiāng cūn)
igual	相等 (xiāng děng)
diafonía	相声 (xiàng shēng)
correspondiente	相应 (xiāng yìng)
embutido	香肠 (xiāng cháng)
detallado	详细 (xiáng xì)
disfrutar	享受 (xiǎng shòu)
mago	向导 (xiàng dǎo)
adelante	向前 (xiàng qián)
arriba	向上 (xiàng shàng)
símbolo	象征 (xiàng zhēng)
eliminar	消除 (xiāo chú)
desinfectar	消毒 (xiāo dú)
extinción de incendios	消防 (xiāo fáng)
consumidor	消费者 (xiāo fèi zhě)
negativo	消极 (xiāo jí)
ladrón	小偷儿 (xiǎo tōu ér)
descansar	歇 (xiē)
protocolo	协议 (xié yì)
Acuerdo	协议书 (xié yì shū)
inclinación	斜 (xié)
mentalidad	心态 (xīn tài)
sentirse angustiado	心疼 (xīn téng)
Duro	辛苦 (xīn kǔ)
agradecer	欣赏 (xīn shǎng)
creencia	信念 (xìn niàn)
buzón	信箱 (xìn xiāng)
viajar	行驶 (xíng shǐ)
forma	形态 (xíng tài)
actuación	性能 (xìng néng)
majestuoso	雄伟 (xióng wěi)
Oso	熊 (xióng)
Ocio	休闲 (xiū xián)
reparar	修复 (xiū fù)
construir	修建 (xiū jiàn)
capacitación	修养 (xiū yǎng)
Humildemente	虚心 (xū xīn)
licencia	许可 (xǔ kě)
Electivo	选修 (xuǎn xiū)
disciplina	学科 (xué kē)
licenciado en Ciencias	学位 (xué wèi)
erudito	学者 (xué zhě)
buscar	寻求 (xún qiú)
preguntar	询问 (xún wèn)
depósito	押金 (yā jīn)
Pato	鸭子 (yā zi)
subcampeón	亚军 (yà jūn)
extender	延伸 (yán shēn)
severo	严厉 (yán lì)
grave	严肃 (yán sù)
discurso	言语 (yán yǔ)
Escuela de posgrado	研究所 (yán jiū suǒ)
visión	眼光 (yǎn guāng)
invitar	邀请 (yāo qǐng)
sacudir la cabeza	摇头 (yáo tóu)
morder	咬 (yǎo)
DE ACUERDO	也好 (yě hǎo)
negocio	业务 (yè wù)
por la noche	夜间 (yè jiān)
vida	一辈子 (yī bèi zi)
área	一带 (yī dài)
una vez	一旦 (yí dàn)
una palabra	一句话 (yī jù huà)
en un suspiro	一口气 (yì kǒu qì)
clase primera	一流 (yì liú)
todo el camino	一路 (yī lù)
Por todas partes	一身 (yī shēn)
de repente	一下子 (yī xià zi)
